channel,energy
2,84.1-92.7 keV
3,92.7-101.3 keV
4,101.3-110.0 keV
5,110.0-118.6 keV
6,118.6-137.0 keV
7,137.0-155.8 keV
8,155.8-174.6 keV
9,174.6-192.6 keV
10,192.6-219.5 keV
11,219.5-246.4 keV
12,246.4-273.4 keV
13, 273.4-312.0 keV
14,312.0-350.7 keV
15,350.7-389.5 keV
16,389.5-438.1 keV
17,438.1-496.4 keV
18,496.4-554.8 keV
19, 554.8-622.9 keV
20,622.9-700.7 keV
21,700.7-788.3 keV
22,788.3-875.8 keV
23,875.8- 982.8 keV
24,982.8-1111.9 keV
25,1111.9-1250.8 keV
26,1250.8-1399.7 keV
27,1399.7-1578.4 keV
28,1578.4-1767.0 keV
29,1767.0-1985.3 keV
30,1985.3-2223.6 keV
31,2223.6-6500.0 keV
