channel,energy
0,0.0312 - 0.0354 MeV
1,0.0334 - 0.0374 MeV
2,0.0356 - 0.0396 MeV
3,0.0382 - 0.0420 MeV
4,0.0408 - 0.0439 MeV
5,0.0439 - 0.0467 MeV
6,0.0467 - 0.0505 MeV
7,0.0505 - 0.0542 MeV
8,0.0542 - 0.0588 MeV
9,0.0588 - 0.0635 MeV
10,0.0635 - 0.0682 MeV
11,0.0682 - 0.0739 MeV
12,0.0739 - 0.0798 MeV
13,0.0798 - 0.0866 MeV
14,0.0866 - 0.0942 MeV
15,0.0942 - 0.1021 MeV
16,0.1021 - 0.1107 MeV
17,0.1107 - 0.1207 MeV
18,0.1207 - 0.1314 MeV
19,0.1314 - 0.1432 MeV
20,0.1432 - 0.1552 MeV
21,0.1552 - 0.1690 MeV
22,0.1690 - 0.1849 MeV
23,0.1849 - 0.2004 MeV
24,0.2004 - 0.2182 MeV
25,0.2182 - 0.2379 MeV
26,0.2379 - 0.2590 MeV
27,0.2590 - 0.2826 MeV
28,0.2826 - 0.3067 MeV
29,0.3067 - 0.3356 MeV
30,0.3356 - 0.3669 MeV
31,0.3669 - 0.3993 MeV
32,0.3993 - 0.4352 MeV
33,0.4353 - 0.4742 MeV
