channel,energy
0,0.0495 - 0.0574 MeV
1,0.0520 - 0.0602 MeV
2,0.0552 - 0.0627 MeV
3,0.0578 - 0.0651 MeV
4,0.0608 - 0.0678 MeV
5,0.0645 - 0.0718 MeV
6,0.0689 - 0.0758 MeV
7,0.0729 - 0.0798 MeV
8,0.0768 - 0.0834 MeV
9,0.0809 - 0.0870 MeV
10,0.0870 - 0.0913 MeV
11,0.0913 - 0.0974 MeV
12,0.0974 - 0.1034 MeV
13,0.1034 - 0.1096 MeV
14,0.1096 - 0.1173 MeV
15,0.1173 - 0.1246 MeV
16,0.1246 - 0.1333 MeV
17,0.1333 - 0.1419 MeV
18,0.1419 - 0.1514 MeV
19,0.1514 - 0.1628 MeV
20,0.1628 - 0.1744 MeV
21,0.1744 - 0.1879 MeV
22,0.1879 - 0.2033 MeV
23,0.2033 - 0.2189 MeV
24,0.2189 - 0.2364 MeV
25,0.2364 - 0.2549 MeV
26,0.2549 - 0.2744 MeV
27,0.2744 - 0.2980 MeV
28,0.2980 - 0.3216 MeV
29,0.3216 - 0.3494 MeV
30,0.3494 - 0.3810 MeV
31,0.3810 - 0.4117 MeV
32,0.4117 - 0.4472 MeV
33,0.4472 - 0.4850 MeV
34,0.4850 - 0.5255 MeV
35,0.5255 - 0.5734 MeV
36,0.5734 - 0.6216 MeV
37,0.6216 - 0.6767 MeV
38,0.6767 - 0.7401 MeV
39,0.7401 - 0.8037 MeV
40,0.8037 - 0.8752 MeV
41,0.8752 - 0.9500 MeV
42,0.9500 - 1.0342 MeV
43,1.0342 - 1.1294 MeV
44,1.1294 - 1.2258 MeV
45,1.2258 - 1.3376 MeV
46,1.3376 - 1.4641 MeV
47,1.4641 - 1.5934 MeV
48,1.5934 - 1.7372 MeV
49,1.7372 - 1.8867 MeV
50,1.8867 - 2.0537 MeV
51,2.0537 - 2.2479 MeV
52,2.2479 - 2.4375 MeV
53,2.4375 - 2.6602 MeV
54,2.6602 - 2.9209 MeV
55,2.9209 - 3.1725 MeV
56,3.1725 - 3.4609 MeV
57,3.4609 - 3.7620 MeV
58,3.7620 - 4.0993 MeV
59,4.0993 - 4.4821 MeV
60,4.4821 - 4.8701 MeV
61,4.8701 - 5.3147 MeV
62,5.3147 - 5.8322 MeV
63,5.8322 - 6.1316 MeV
