channel,energy
0,7.0450 - 7.3540 MeV
1,7.3540 - 7.8900 MeV
2,7.8900 - 8.4840 MeV
3,8.4840 - 9.1840 MeV
4,9.1840 - 9.6410 MeV
5,10.6000 - 10.7400 MeV
6,10.7400 - 10.9800 MeV
7,10.9800 - 11.3500 MeV
8,11.3500 - 11.8000 MeV
9,11.8000 - 12.4300 MeV
10,12.4300 - 13.6800 MeV
11,13.6800 - 14.6100 MeV
12,14.6100 - 15.6500 MeV
13,15.6500 - 16.8200 MeV
14,16.8200 - 18.2000 MeV
15,18.2000 - 19.6500 MeV
16,19.6500 - 21.2400 MeV
17,21.2400 - 23.1200 MeV
18,23.1200 - 25.0900 MeV
19,25.0900 - 27.2000 MeV
20,27.2000 - 29.4400 MeV
21,29.4400 - 31.9700 MeV
22,31.9700 - 34.8800 MeV
23,34.8800 - 37.9000 MeV
24,37.9000 - 41.1800 MeV
25,41.1800 - 44.9900 MeV
26,44.9900 - 49.0700 MeV
27,49.0700 - 53.3800 MeV
28,53.3800 - 58.0300 MeV
29,58.0300 - 63.1000 MeV
30,63.1000 - 68.9700 MeV
31,68.9700 - 75.1100 MeV
32,75.1100 - 81.6400 MeV
33,81.6400 - 89.4600 MeV
34,89.4600 - 97.6300 MeV
35,97.6300 - 104.9000 MeV
