Energy,Intensity,E_err_minus,E_err_plus,I_err
0.033263147,0.0,0.0020431466,0.0021768548,
0.035341747,6168270000.0,0.0019717477,0.0020882525,15036068.036052998
0.037535686,5633952000.0,0.0019656867,0.0020743124,12892440.892428
0.04002922,4955022300.0,0.0018692203,0.0019607805,11744167.744156
0.04232089,4452213000.0,0.0015408881,0.0015991107,10541394.541383998
0.04529352,4043165000.0,0.001373522,0.0014164783,9891935.891926
0.048563235,3459195600.0,0.0018532351,0.0019267648,7884750.884742999
0.05230247,3330217500.0,0.0018124692,0.0018775314,7596350.5963429995
0.056461945,2746920700.0,0.0022819452,0.002378054,6137240.6372345
0.06113042,2521389600.0,0.0022904202,0.0023795813,5758833.758827999
0.065818064,2133738900.0,0.0023080632,0.0023919344,5280739.7807345
0.07099802,1896310000.0,0.0027880222,0.0029019788,4495607.9956035
0.07677892,1653888000.0,0.0028789192,0.0029910803,4105027.6050234996
0.08313406,1430193300.0,0.0033640638,0.0035059378,3528588.7785852496
0.09034575,1245294800.0,0.0037057474,0.003864251,3103448.1034449995
0.09807569,1047308160.0,0.003865689,0.004024312,2786941.786939
0.10632748,922242560.0,0.004227482,0.0044025183,2487546.7375442497
0.11558842,768909760.0,0.0048584193,0.0050715804,2108938.6089365
0.12590116,673225100.0,0.005241163,0.0054688305,1895792.3957904999
0.13717666,560356000.0,0.0058066696,0.006063327,1636831.38682975
0.14910974,481636000.0,0.0058697313,0.006110266,1518737.1437356248
0.16194434,418486560.0,0.0067243427,0.0070156604,1304431.05442975
0.17675519,347271000.0,0.007795185,0.0081548095,1105661.480660375
0.19247524,295218300.0,0.007565245,0.007874757,1018557.4560564376
0.20907502,250782770.0,0.008725017,0.009104982,881280.5687796874
0.22784589,211009650.0,0.0096658915,0.010094106,764101.4516006875
0.24825636,175946830.0,0.010316357,0.010763645,677204.677204
0.27057716,147537680.0,0.011557162,0.012072831,582361.8948613125
0.29441515,124257040.0,0.011765152,0.012254834,544317.2318166875
0.32083297,103939260.0,0.014162958,0.014817029,472866.6916162187
0.3509321,85568160.0,0.0152820945,0.01597789,440920.69092024997
0.38273856,73094130.0,0.01582855,0.01651144,447429.3849289375
0.41686156,61237570.0,0.017611563,0.01838842,429296.2730458437
0.454303,51513240.0,0.019052982,0.01988703,431955.0882046562
