Energy,Intensity,E_err,I_err
0.0533278,,0.003965,0.0
0.05592919,16796809214078.979,0.00411,15528687012703.484
0.058855973,14552345925558.047,0.003745,14003781671415.668
0.061322063,13744128976422.658,0.00364,13169641960444.791
0.0641972,11955191153581.633,0.003545,11417607469340.05
0.06808804,10419930761593.533,0.003635,9870425348591.479
0.07228248,10566373688066.264,0.003455,10044455632317.588
0.07626858,9120839021368.082,0.003415,8733294135285.402
0.08004721,9319007666689.059,0.003295,8965540332075.367
0.08388939,8177849169247.186,0.003055,7789759977736.1875
0.08914359,8178072075263.684,0.00217,7836287435799.6
0.094331026,6937442769510.076,0.00304,6621050410051.789
0.10034606,7038538430299.269,0.00297,6717149404662.6875
0.1064537,6754534835514.203,0.00314,6434271283720.85
0.11339084,6519434059165.604,0.003815,6181510244288.0625
0.1208843,6494690913744.925,0.00367,6181590882128.7
0.12889628,5939330041496.12,0.00436,5640676855007.214
0.13754342,5796469739089.977,0.00428,5503746313804.81
0.14656305,5632296279411.575,0.00475,5319151320986.002
0.15700583,5578032196524.573,0.00572,5231579778022.547
0.16852538,5379665988479.723,0.005795,5021921392364.37
0.1810153,5350432467306.672,0.00672,4962112881947.92
0.19544199,5277494388485.109,0.007735,4829882662877.833
0.21094732,5147551116179.04,0.00776,4711042357245.646
0.22744137,4855116835136.489,0.00876,4406575758411.352
0.24548428,4738709200361.697,0.00929,4290069630273.3403
0.26449627,4552902623987.991,0.009725,4114286625482.511
0.28596622,4350819587474.6963,0.01181,3867775018699.151
0.30958077,4077700949188.081,0.011785,3626013556713.9307
0.33518755,3802003339963.8667,0.013885,3336233412598.076
0.36484194,3466532931364.746,0.015825,3023713973406.9497
0.3960386,3157581716625.391,0.015325,2779824536405.7563
0.42906696,2929714154581.043,0.017775,2538649138726.6
0.46569785,2662470270977.394,0.01887,2314211708829.3945
0.50482285,2418192332379.8745,0.02028,2096825770103.6733
0.54894257,2241724049941.183,0.023955,1919173983356.0642
0.59702414,2043382033247.4924,0.02409,1762877256751.494
0.6485795,1882828348637.9219,0.027565,1616494808657.1921
0.7077108,1711175585245.4055,0.03169,1462619665206.2026
0.7712403,1527141313411.5022,0.031785,1327903064717.7368
0.83869237,1426727330349.7368,0.035775,1230287934706.7043
0.91183454,1260598547033.2864,0.03737,1100736115913.0151
0.9911859,1131206563959.3608,0.04211,992553540882.5483
1.0807327,1003218687285.6217,0.04759,878502762993.8845
1.176583,895414318127.3601,0.0482,796482415377.6189
1.2804648,791308345931.5546,0.055915,706659852693.146
1.3994213,701371522306.7267,0.06325,626811902903.2761
1.5273871,610725301678.6909,0.064655,553823425426.8716
1.6637475,540573152249.57025,0.07189,491056406234.91516
1.8104118,483367804124.2418,0.074765,443549450401.00684
1.9684402,424199212571.7884,0.08349,390631911454.5208
2.148588,368233995237.56433,0.09708,340892223409.8825
2.34077,331909311958.98004,0.09483,308560805197.49664
2.5464032,291288053736.26245,0.111315,271411653996.88257
2.7874777,255369169590.9142,0.130375,238581991126.75253
3.0440922,227322500639.2029,0.12579,213992003610.2896
3.3135726,203107245088.042,0.14423,190675445993.2553
3.6083505,185346346698.66135,0.15055,174543251989.57745
3.9270558,165630016672.8331,0.168635,156304556394.9001
4.2864485,152579178155.02557,0.19141,143899558582.41467
4.672104,137426499921.34668,0.194,130394124237.99384
5.0875616,127856300197.17233,0.222285,120938239452.61852
5.567431,120128000149.60655,0.25874,113016633581.52057
5.9800406,115521842495.70702,0.149735,111370307667.69629
