Energy,Intensity,E_err_minus,E_err_plus,I_err
0.033263147,,0.0020431466,0.0021768548,
0.035341747,103252.26223754883,0.0019717477,0.0020882525,
0.037535686,98755.92834472656,0.0019656867,0.0020743124,
0.04002922,86982.36431884766,0.0018692203,0.0019607805,
0.04232089,80028.78996276855,0.0015408881,0.0015991107,
0.04529352,72872.7652130127,0.001373522,0.0014164783,
0.048563235,63096.98765563965,0.0018532351,0.0019267648,
0.05230247,60263.19610595703,0.0018124692,0.0018775314,
0.056461945,50449.238708496094,0.0022819452,0.002378054,
0.06113042,46857.37242126465,0.0022904202,0.0023795813,
0.065818064,38157.91845703125,0.0023080632,0.0023919344,
0.07099802,33515.45217132568,0.0027880222,0.0029019788,
0.07677892,28782.5864944458,0.0028789192,0.0029910803,
0.08313406,24933.419273376465,0.0033640638,0.0035059378,
0.09034575,21255.245906829834,0.0037057474,0.003864251,
0.09807569,17859.172885894775,0.003865689,0.004024312,
0.10632748,15844.810417175293,0.004227482,0.0044025183,
0.11558842,13124.74782371521,0.0048584193,0.0050715804,
0.12590116,11774.397864341736,0.005241163,0.0054688305,
0.13717666,9657.724681854248,0.0058066696,0.006063327,
0.14910974,8162.972076416016,0.0058697313,0.006110266,
0.16194434,7020.698880195618,0.0067243427,0.0070156604,
0.17675519,5670.886354446411,0.007795185,0.0081548095,
0.19247524,4874.76949930191,0.007565245,0.007874757,
0.20907502,4144.856685161591,0.008725017,0.009104982,
0.22784589,3546.3770174980164,0.0096658915,0.010094106,
0.24825636,2871.3348846435547,0.010316357,0.010763645,
0.27057716,2339.957006216049,0.011557162,0.012072831,
0.29441515,2009.1313281059265,0.011765152,0.012254834,
0.32083297,1629.3634831905365,0.014162958,0.014817029,
0.3509321,1303.9808123111725,0.0152820945,0.01597789,
0.38273856,1013.1156349182129,0.01582855,0.01651144,
0.41686156,868.5780593156815,0.017611563,0.01838842,
0.454303,743.9792897701263,0.019052982,0.01988703,
